run	-1	'Willow is running on port 6999'
log	0	u"('willowSubNo', 'Paycode', 'VideoComment', 'sentCond', 'changeCond', 'isChange', 'trialNo', 'itemNo', 'Verb', 'OrigVid', 'NewVid', 'Response', 'Error', 'Correct')"
take	0	"{'tag': 'click', 'id': 'ConsentButton', 'client': 0}"
add	0	'(body)\n<html>\n<head>\n<link rel="stylesheet" type="text/css" href="exp.css" />\n</head>\n<body>\n\n<h3>Consent Statement</h3>\n<p class="blocktext"> By answering the following questions, you are participating in a study being performed by cognitive scientists in the MIT Department of Brain and Cognitive Science. \nIf you have questions about this research, please contact Melissa Kline at mitplaylab@gmail.com. Your participation in this research is voluntary. You may decline to \nanswer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; \nthe researchers who have requested your participation will not receive any personal information about you.</p>\n\n<p class="blocktext"><b> This is a DINOSAUR MOUNTAIN SURVEY.  Please complete only one HIT from this group.  You will not be paid for completing more than one DINOSAUR MOUNTAIN survey, including those taken from previous HIT groups.</b> </p>\n\n<p class="blocktext"> Click the \'I agree\' button below to go on to the study</p>\n\n<p class="blocktext">\n<input type=\'submit\' value=\'I agree\' id=\'ConsentButton\'>\n</p>\n\n</body>\n</html>'
put	0	"{'time': 1335460896781L, 'tag': 'click', 'id': 'ConsentButton', 'client': 0}"
took	0	"{'client': 0, 'tag': 'click', 'id': 'ConsentButton', 'time': 1335460896781L}"
take	0	"{'tag': 'click', 'id': 'ReqButton', 'client': 0}"
let	0	'(body)'
add	0	'(body)\n<html>\n<head>\n<link rel="stylesheet" type="text/css" href="exp.css" />\n</head>\n<body>\n\n<h3>System Requirements</h3>\n\n<p class="blocktext">This experiment requires a browser that can display videos.  Common modern browsers including the current versions of Firefox, Safari, and Chrome should all work well. Internet Explorer is also acceptable. <p/>\n\n<p class="blocktext"> The task also requires the ability to hear sound through your earphones (preferred) or computer speakers. Please make sure your sound is turned on and that any music or other distracting sounds are turned off.</p>\n\n<p class="blocktext"> Next you will watch a test video to make sure your system will display them correctly.  When you are ready, click the button below to watch the test video.  You will be asked to write a short description of what you see and hear. </p>\n\n<p class="blocktext">\n<input type=\'submit\' value=\'Play test video\' id=\'ReqButton\'>\n</p>\n\n</body>\n</html>'
put	0	"{'time': 1335460899535L, 'tag': 'click', 'id': 'ReqButton', 'client': 0}"
took	0	"{'client': 0, 'tag': 'click', 'id': 'ReqButton', 'time': 1335460899535L}"
let	0	'(body)'
let	0	'(body)'
add	0	'(body)\n<html>\n<head>\n<link rel="stylesheet" type="text/css" href="exp.css" />\n</head>\n<body>\n</body>\n</html>'
